group	node_shape	node_role	target_classes	closed	ignored_properties	property_shape_count	sparql_constraint_count
Member	urn:codex:bootstrap:1.0.0#Member#shape	root	urn:codex:bootstrap:1.0.0#Member	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	5	1
MemberCount	urn:codex:bootstrap:1.0.0#MemberCount#shape	root	urn:codex:bootstrap:1.0.0#MemberCount	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
MemberCount	urn:codex:bootstrap:1.0.0#MemberCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0	subshape				1	0
MemberCount	urn:codex:bootstrap:1.0.0#MemberCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1	subshape				1	0
Not	urn:codex:bootstrap:1.0.0#Not#shape	root	urn:codex:bootstrap:1.0.0#Not	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	3	0
OnPathCount	urn:codex:bootstrap:1.0.0#OnPathCount#shape	root	urn:codex:bootstrap:1.0.0#OnPathCount	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	9	0
OnPathCount	urn:codex:bootstrap:1.0.0#OnPathCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/0	subshape				1	0
OnPathCount	urn:codex:bootstrap:1.0.0#OnPathCount#shape/or/37d682d06b98556f4eeab841011a9e2e0554d6547504a0179606946fdc560efc/shape/1	subshape				1	0
OnPathExists	urn:codex:bootstrap:1.0.0#OnPathExists#shape	root	urn:codex:bootstrap:1.0.0#OnPathExists	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	7	0
OnPathForAll	urn:codex:bootstrap:1.0.0#OnPathForAll#shape	root	urn:codex:bootstrap:1.0.0#OnPathForAll	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	7	0
OrderConstraint	urn:codex:bootstrap:1.0.0#OrderConstraint#shape	root	urn:codex:bootstrap:1.0.0#OrderConstraint	true	http://www.w3.org/1999/02/22-rdf-syntax-ns#type | urn:codex:bootstrap:1.0.0#codex/content | urn:codex:bootstrap:1.0.0#codex/declaredId | urn:codex:bootstrap:1.0.0#codex/isEntity | urn:codex:bootstrap:1.0.0#codex/parentNode	6	0
